gravity_angle,angle01,angle02,angle03,angle04,angle05,angle06,angle07,angle08,angle09,angle10,angle11,angle12,angle13,limb_angle01,limb_angle02,limb_angle03,limb_angle04,orient01,orient02,orient03
2.097177775,1.537472076,1.523934278,1.755481579,2.988327872,1.554907622,3.115066868,1.618531926,1.5033592,3.133364702,3.039271402,1.69822205,3.125822611,2.861389488,0.626672266,0.651626371,0.044123787,0.093564479,4.71238898,4.71238898,4.781396655
2.088801406,1.525849615,1.552183967,1.713548834,2.985242315,1.598332337,3.115106079,1.633768219,1.484428632,3.112247406,3.020550363,1.537819361,3.12624232,2.861390055,0.61688329,0.652737678,0.028975079,0.105326399,4.71238898,4.71238898,4.780634181
2.166264023,1.41005615,1.561648763,1.480272691,2.630576785,1.709574786,3.110008071,1.756778775,1.623350984,3.075971667,2.945546515,1.156122228,2.630272993,2.81334798,1.198922713,0.723497443,0.011788783,0.118033028,4.71238898,4.71238898,4.909775819
2.090148182,1.53829248,1.509262724,1.72853904,3.015064662,1.578553891,3.089330372,1.713093691,1.563609491,3.112052381,3.114927997,1.626111633,3.123566867,2.877267524,0.604603168,0.659124913,0.029609032,0.106827916,4.71238898,4.71238898,4.909477554
2.089181269,1.538399963,1.509658943,1.732055828,3.010885218,1.554113883,3.115084222,1.634155435,1.485835426,3.11230978,3.107961747,1.554388907,3.12201484,2.856775417,0.613458495,0.660851868,0.029372083,0.106888985,4.71238898,4.71238898,4.856362769
1.991504905,1.52666498,1.581898319,1.665640133,3.095958615,1.599405118,3.114791784,1.603669005,1.468799144,3.078329893,3.004418682,1.554840341,3.140947033,2.768106906,0.649384618,0.626436789,0.053385347,0.084464258,4.71238898,4.71238898,4.858243994
2.081886057,1.52699526,1.56603317,1.713430117,2.98858973,1.598750347,3.114359649,1.619242761,1.502380348,3.134012611,3.126574957,1.554083103,3.123005462,2.785755712,0.636182001,0.65087131,0.044983746,0.095333231,4.71238898,4.71238898,4.989255729
2.098623937,1.538117351,1.508896108,1.732226548,3.010704347,1.579395252,3.088788733,1.714474503,1.582391893,3.135198351,3.127327968,1.628221788,3.122754799,2.786203427,0.61252506,0.65963444,0.031070285,0.107841823,4.71238898,4.71238898,4.972475625
2.102504522,1.499973682,1.548424702,1.689213267,3.01530015,1.535853833,3.089136645,1.633719427,1.501172365,3.135677509,3.133479396,1.553086861,3.122549852,2.813647922,0.617553791,0.672142926,0.032487609,0.107005333,4.71238898,4.71238898,4.968919579
2.11004163,1.498478248,1.533692284,1.691655752,3.042513979,1.600178023,3.139619583,1.649384133,1.501626827,3.135794292,3.018601542,1.538527187,3.127599847,2.91470741,0.620641681,0.659535479,0.018577398,0.119077516,4.71238898,4.71238898,4.711602748
