Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LHSmallToe,LHeel,RBigToe,RHSmallToe,RHeel
"[193.442, 130.806, 0.940915]","[194.391, 158.613, 0.910517]","[172.545, 156.678, 0.841691]","[170.569, 193.432, 0.876357]","[168.542, 219.299, 0.856495]","[212.353, 158.612, 0.839747]","[216.278, 192.414, 0.784137]","[217.295, 220.286, 0.872414]","[192.417, 216.306, 0.725513]","[179.484, 217.269, 0.753006]","[186.421, 266.998, 0.825105]","[187.49, 313.784, 0.842882]","[203.365, 217.278, 0.767703]","[202.325, 266.997, 0.833277]","[201.375, 313.743, 0.819112]","[187.505, 126.799, 0.879721]","[196.435, 125.82, 0.846635]","[182.508, 130.782, 0.856363]","[203.397, 130.746, 0.924402]","[196.444, 322.713, 0.644498]","[203.354, 321.752, 0.717868]","[200.376, 315.77, 0.586355]","[189.441, 322.756, 0.688301]","[184.491, 322.736, 0.680003]","[189.46, 316.745, 0.592572]"
"[193.448, 130.792, 0.939331]","[194.389, 158.613, 0.909821]","[172.542, 157.617, 0.841022]","[170.567, 193.447, 0.881466]","[168.548, 219.317, 0.852453]","[212.35, 158.607, 0.840935]","[216.287, 191.449, 0.784247]","[217.297, 220.284, 0.872793]","[192.428, 217.271, 0.73991]","[179.495, 217.287, 0.766451]","[186.424, 266.059, 0.826345]","[187.487, 313.763, 0.834642]","[203.37, 217.291, 0.77784]","[202.327, 266.068, 0.836295]","[201.372, 313.733, 0.81043]","[187.512, 125.832, 0.87798]","[196.441, 125.802, 0.847289]","[182.511, 130.776, 0.859183]","[203.395, 130.734, 0.918465]","[197.399, 322.697, 0.644746]","[203.363, 321.739, 0.718514]","[199.413, 315.763, 0.579984]","[188.497, 322.738, 0.696492]","[184.482, 322.715, 0.679537]","[189.456, 316.732, 0.596554]"
"[193.436, 130.8, 0.936668]","[194.39, 158.619, 0.909592]","[172.547, 157.62, 0.836554]","[170.565, 193.437, 0.876795]","[168.551, 219.304, 0.856324]","[212.349, 158.61, 0.839623]","[216.282, 192.43, 0.791229]","[217.292, 220.289, 0.869955]","[192.432, 217.31, 0.751262]","[179.499, 218.258, 0.777092]","[186.416, 266.065, 0.825315]","[187.488, 313.763, 0.844353]","[203.372, 218.267, 0.785992]","[202.327, 266.065, 0.834427]","[201.368, 313.732, 0.812786]","[187.497, 126.794, 0.882134]","[196.426, 125.803, 0.85215]","[182.508, 130.779, 0.85694]","[203.392, 130.727, 0.91614]","[197.393, 322.704, 0.658153]","[203.365, 321.741, 0.736426]","[200.369, 315.763, 0.579238]","[188.483, 322.741, 0.716806]","[184.467, 322.719, 0.69805]","[189.462, 316.733, 0.606856]"
"[193.448, 130.801, 0.940832]","[194.389, 158.618, 0.90801]","[172.547, 157.62, 0.838641]","[170.566, 194.376, 0.883036]","[168.551, 219.316, 0.855842]","[212.349, 158.608, 0.840444]","[216.295, 191.451, 0.78433]","[217.297, 220.29, 0.870483]","[192.426, 217.296, 0.749192]","[179.496, 217.314, 0.775911]","[186.418, 266.062, 0.826708]","[187.488, 313.762, 0.84137]","[203.368, 217.313, 0.784138]","[202.321, 266.989, 0.833266]","[201.369, 313.724, 0.808658]","[187.509, 126.792, 0.877946]","[196.439, 125.811, 0.845949]","[182.502, 130.776, 0.860739]","[203.391, 130.734, 0.918204]","[197.392, 322.694, 0.641218]","[203.362, 321.734, 0.716577]","[199.412, 315.754, 0.577914]","[188.487, 322.733, 0.71317]","[184.47, 322.712, 0.693256]","[189.461, 315.796, 0.605992]"
"[193.448, 130.8, 0.940238]","[194.388, 158.618, 0.907812]","[172.547, 157.621, 0.838469]","[170.566, 194.378, 0.883387]","[168.551, 219.317, 0.855789]","[212.349, 158.608, 0.840433]","[216.296, 191.453, 0.784076]","[217.3, 220.293, 0.870475]","[192.427, 217.297, 0.749883]","[179.496, 218.251, 0.776751]","[186.418, 266.062, 0.826823]","[187.489, 313.762, 0.841406]","[203.369, 217.314, 0.784623]","[202.321, 266.989, 0.833884]","[201.369, 313.724, 0.808548]","[187.508, 126.789, 0.878336]","[196.439, 125.807, 0.846339]","[182.502, 130.774, 0.859883]","[203.393, 130.73, 0.915335]","[197.393, 322.694, 0.6409]","[203.362, 321.733, 0.716198]","[199.413, 315.754, 0.577553]","[188.489, 322.733, 0.7125]","[184.471, 322.713, 0.692909]","[189.461, 315.796, 0.605844]"
"[193.437, 130.8, 0.936987]","[194.389, 158.622, 0.909249]","[172.547, 157.62, 0.836848]","[170.565, 193.436, 0.876466]","[168.55, 219.304, 0.855993]","[212.347, 158.616, 0.839989]","[216.279, 192.438, 0.795553]","[217.294, 220.288, 0.872092]","[192.428, 217.311, 0.750391]","[179.496, 218.259, 0.778434]","[186.416, 266.062, 0.824962]","[187.487, 313.758, 0.843527]","[203.37, 218.268, 0.786661]","[202.321, 266.061, 0.83154]","[201.37, 313.726, 0.8113]","[187.497, 126.796, 0.882423]","[196.426, 125.803, 0.85252]","[182.506, 130.781, 0.858482]","[203.392, 130.728, 0.916197]","[197.394, 322.7, 0.652677]","[203.365, 321.736, 0.731108]","[200.369, 315.757, 0.579606]","[188.475, 322.741, 0.720146]","[184.458, 322.718, 0.698823]","[189.461, 315.792, 0.610338]"
"[193.433, 130.801, 0.93742]","[194.39, 158.626, 0.908922]","[172.55, 157.619, 0.835853]","[170.563, 193.442, 0.87738]","[168.556, 219.311, 0.852423]","[212.347, 158.616, 0.840133]","[216.301, 192.428, 0.788565]","[217.303, 220.286, 0.872728]","[192.435, 217.307, 0.753375]","[179.501, 218.255, 0.779431]","[186.411, 266.044, 0.823065]","[187.489, 313.752, 0.840757]","[203.374, 218.264, 0.785895]","[202.322, 266.046, 0.831299]","[201.369, 313.724, 0.809783]","[187.495, 126.798, 0.88329]","[196.423, 125.808, 0.85341]","[182.508, 130.787, 0.858217]","[203.388, 130.734, 0.92092]","[197.398, 322.698, 0.652818]","[203.368, 321.733, 0.730151]","[200.367, 315.756, 0.578129]","[188.476, 322.736, 0.721505]","[184.459, 322.713, 0.700587]","[189.462, 315.789, 0.609906]"
"[193.432, 130.806, 0.939926]","[194.387, 158.626, 0.908605]","[172.543, 157.62, 0.839041]","[170.561, 193.441, 0.878908]","[168.55, 219.314, 0.84764]","[212.342, 158.617, 0.843864]","[216.287, 192.449, 0.79599]","[217.298, 220.29, 0.871972]","[192.432, 217.285, 0.745299]","[179.497, 217.304, 0.772269]","[185.491, 266.04, 0.82248]","[187.489, 313.751, 0.839664]","[203.37, 217.303, 0.781135]","[202.321, 266.036, 0.830909]","[201.369, 313.722, 0.809058]","[187.491, 126.804, 0.884899]","[196.419, 125.811, 0.854877]","[182.497, 130.791, 0.863481]","[203.385, 130.735, 0.92157]","[197.398, 322.696, 0.652872]","[203.368, 321.732, 0.730441]","[200.367, 315.755, 0.578326]","[188.476, 322.736, 0.72039]","[184.459, 322.712, 0.699413]","[189.463, 315.788, 0.609704]"
"[193.448, 130.794, 0.941184]","[194.389, 158.614, 0.910289]","[172.543, 157.612, 0.842087]","[170.572, 193.444, 0.882358]","[168.548, 219.31, 0.855021]","[212.351, 158.612, 0.840141]","[216.284, 192.412, 0.786037]","[217.298, 220.285, 0.872013]","[192.429, 217.273, 0.736543]","[179.496, 217.287, 0.762679]","[186.43, 267, 0.828955]","[187.488, 313.771, 0.839732]","[203.372, 217.294, 0.772981]","[202.328, 266.996, 0.835846]","[201.372, 313.742, 0.814738]","[187.511, 125.833, 0.878861]","[196.444, 125.802, 0.847062]","[182.509, 130.776, 0.858369]","[203.399, 130.736, 0.917846]","[196.444, 322.713, 0.64509]","[203.357, 321.753, 0.719515]","[200.367, 315.769, 0.583243]","[188.496, 322.747, 0.698635]","[184.483, 322.724, 0.684013]","[189.458, 316.737, 0.594891]"
"[193.448, 130.796, 0.939598]","[194.391, 158.616, 0.910304]","[172.55, 157.619, 0.83748]","[170.565, 193.448, 0.879753]","[168.554, 219.317, 0.856659]","[212.352, 157.658, 0.840044]","[216.287, 191.457, 0.781978]","[217.301, 220.293, 0.870237]","[192.431, 217.294, 0.749986]","[179.499, 217.312, 0.775512]","[186.42, 266.06, 0.826839]","[187.489, 313.762, 0.839485]","[203.37, 217.311, 0.783834]","[202.322, 266.989, 0.83335]","[201.37, 313.732, 0.810336]","[187.509, 126.788, 0.878105]","[196.44, 125.806, 0.84594]","[182.504, 130.78, 0.86221]","[203.392, 130.736, 0.919684]","[196.447, 322.701, 0.644618]","[203.361, 321.739, 0.719195]","[199.414, 315.764, 0.576533]","[188.482, 322.735, 0.712617]","[184.466, 322.712, 0.690874]","[189.461, 316.733, 0.602475]"
"[193.429, 130.806, 0.939527]","[194.384, 158.62, 0.909262]","[172.539, 157.617, 0.841361]","[170.555, 193.439, 0.873042]","[168.55, 219.289, 0.853909]","[212.338, 157.655, 0.847809]","[216.303, 192.43, 0.793086]","[217.297, 220.291, 0.869077]","[192.426, 217.277, 0.740046]","[179.489, 217.296, 0.769101]","[186.412, 266.04, 0.820649]","[187.489, 313.75, 0.83863]","[203.369, 217.296, 0.77885]","[202.32, 266.036, 0.829588]","[201.371, 313.72, 0.809515]","[187.487, 126.807, 0.885484]","[196.414, 125.812, 0.856995]","[182.487, 130.793, 0.866554]","[203.379, 130.73, 0.920359]","[197.411, 322.691, 0.650971]","[203.375, 321.726, 0.73011]","[200.368, 315.754, 0.581223]","[188.483, 322.732, 0.718954]","[184.462, 322.71, 0.700302]","[189.46, 315.79, 0.610164]"
"[193.427, 130.807, 0.939156]","[194.384, 158.619, 0.90766]","[172.537, 157.618, 0.842697]","[170.555, 193.445, 0.873302]","[168.548, 219.297, 0.848593]","[212.337, 157.656, 0.847146]","[216.297, 191.451, 0.785073]","[217.296, 220.294, 0.864606]","[191.46, 216.312, 0.73034]","[179.476, 217.275, 0.759602]","[186.412, 266.049, 0.821618]","[187.491, 313.756, 0.837564]","[203.357, 217.279, 0.776828]","[201.403, 266.041, 0.826916]","[201.372, 313.722, 0.810085]","[187.485, 126.808, 0.88641]","[196.412, 125.812, 0.857695]","[182.486, 130.794, 0.863626]","[203.377, 130.729, 0.918703]","[197.409, 322.691, 0.64977]","[203.372, 321.727, 0.728447]","[200.37, 315.754, 0.580066]","[188.49, 322.731, 0.71284]","[184.473, 322.708, 0.697228]","[189.461, 315.793, 0.603577]"
"[192.441, 130.807, 0.923635]","[193.428, 158.616, 0.878102]","[171.568, 157.617, 0.866166]","[170.54, 194.378, 0.861815]","[167.573, 219.284, 0.849629]","[211.366, 157.658, 0.859254]","[213.304, 192.425, 0.801153]","[215.321, 220.276, 0.835068]","[190.447, 216.297, 0.72737]","[178.539, 217.266, 0.76163]","[184.494, 266.057, 0.807279]","[187.48, 313.758, 0.836879]","[202.41, 216.314, 0.766244]","[201.37, 266.027, 0.815588]","[201.376, 313.726, 0.808084]","[187.438, 127.774, 0.898274]","[195.44, 125.817, 0.886977]","[180.541, 130.799, 0.882038]","[202.428, 130.728, 0.914612]","[197.415, 322.704, 0.657282]","[203.384, 321.74, 0.733634]","[199.413, 315.757, 0.584253]","[188.489, 322.733, 0.695643]","[184.463, 322.71, 0.680438]","[189.452, 315.779, 0.593341]"
"[193.399, 130.803, 0.928785]","[194.368, 158.607, 0.89547]","[171.595, 156.673, 0.852827]","[170.547, 193.45, 0.864767]","[167.581, 219.288, 0.845128]","[212.316, 157.653, 0.85134]","[214.323, 191.423, 0.781]","[216.311, 220.279, 0.847263]","[191.435, 216.295, 0.72288]","[178.558, 216.307, 0.752334]","[185.48, 266.056, 0.820673]","[187.484, 313.742, 0.83118]","[203.337, 217.271, 0.768906]","[201.387, 266.043, 0.822657]","[201.367, 313.72, 0.80787]","[187.463, 126.808, 0.893275]","[195.468, 125.811, 0.871971]","[181.518, 130.801, 0.861631]","[203.362, 130.733, 0.920113]","[197.398, 322.693, 0.655027]","[203.368, 321.729, 0.731951]","[199.411, 315.748, 0.584459]","[188.465, 322.725, 0.708175]","[183.496, 322.699, 0.681883]","[189.457, 315.771, 0.604999]"
"[192.43, 130.805, 0.921604]","[193.423, 158.607, 0.87813]","[171.561, 157.621, 0.868999]","[170.537, 194.376, 0.855998]","[167.57, 219.277, 0.84611]","[211.361, 157.638, 0.869286]","[212.365, 192.439, 0.807253]","[214.325, 220.298, 0.828248]","[190.435, 215.323, 0.721478]","[178.537, 216.299, 0.755967]","[185.433, 266.045, 0.810526]","[187.48, 313.771, 0.836652]","[202.397, 216.297, 0.756445]","[201.375, 266.029, 0.81523]","[201.379, 313.755, 0.816105]","[187.429, 127.781, 0.900889]","[195.429, 125.815, 0.89309]","[180.539, 130.809, 0.882681]","[202.409, 130.727, 0.911358]","[197.425, 322.739, 0.655095]","[203.398, 322.686, 0.731837]","[199.411, 315.791, 0.57919]","[189.444, 322.758, 0.687599]","[184.465, 322.734, 0.680841]","[189.447, 316.737, 0.579616]"
"[192.449, 130.804, 0.924993]","[193.443, 158.615, 0.886099]","[171.578, 157.614, 0.861014]","[170.538, 194.383, 0.865202]","[167.576, 219.298, 0.843522]","[211.385, 158.609, 0.851961]","[213.317, 192.419, 0.795309]","[216.277, 220.279, 0.83366]","[190.459, 216.302, 0.727693]","[178.547, 217.27, 0.759538]","[185.435, 266.053, 0.811699]","[187.478, 313.76, 0.839806]","[202.415, 216.319, 0.768749]","[201.358, 266.021, 0.811074]","[201.374, 313.727, 0.808277]","[187.447, 126.813, 0.898761]","[195.453, 125.815, 0.879555]","[181.491, 130.793, 0.869558]","[203.349, 130.732, 0.916868]","[197.414, 322.706, 0.661394]","[203.384, 321.741, 0.737278]","[199.411, 315.759, 0.582886]","[188.487, 322.735, 0.695399]","[184.463, 322.711, 0.679833]","[189.45, 315.781, 0.596593]"
