Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LHSmallToe,LHeel,RBigToe,RHSmallToe,RHeel
"[150.167, 94.7185, 0.939897]","[151.017, 121.116, 0.919284]","[130.759, 121.093, 0.85073]","[124.636, 153.664, 0.821269]","[123.746, 180.992, 0.8703]","[171.265, 120.237, 0.821398]","[172.137, 151.943, 0.863276]","[172.166, 181.841, 0.864321]","[148.395, 175.702, 0.693756]","[136.936, 175.699, 0.713082]","[140.488, 228.496, 0.778232]","[144.013, 275.156, 0.793079]","[158.981, 177.438, 0.734401]","[157.218, 227.62, 0.788696]","[156.332, 273.408, 0.757094]","[144.89, 90.2965, 0.901441]","[153.668, 89.4424, 0.849009]","[138.719, 94.6534, 0.860058]","[159.829, 93.8057, 0.852823]","[152.805, 284.828, 0.625153]","[158.944, 283.963, 0.690479]","[154.574, 277.825, 0.590383]","[145.751, 284.832, 0.708076]","[139.603, 284.824, 0.673949]","[144.892, 278.669, 0.649688]"
"[151.039, 94.7071, 0.939824]","[151.057, 121.118, 0.919695]","[130.806, 120.221, 0.832891]","[124.636, 152.827, 0.827226]","[123.746, 181.839, 0.8675]","[171.291, 121.123, 0.837114]","[172.156, 152.813, 0.840401]","[172.18, 182.726, 0.853946]","[147.511, 177.439, 0.692451]","[136.913, 177.44, 0.70444]","[141.34, 228.514, 0.781719]","[144.007, 275.157, 0.784677]","[158.956, 177.459, 0.738287]","[157.213, 227.634, 0.776594]","[156.326, 273.411, 0.757428]","[145.768, 89.4361, 0.877014]","[155.447, 89.4254, 0.850599]","[139.611, 93.809, 0.813888]","[160.738, 92.9442, 0.810506]","[152.803, 284.817, 0.610636]","[158.939, 283.947, 0.66455]","[154.564, 277.829, 0.575286]","[145.747, 284.82, 0.682158]","[139.599, 284.813, 0.646923]","[144.884, 278.67, 0.637565]"
"[150.159, 93.8124, 0.893061]","[151.9, 118.452, 0.903316]","[132.54, 116.701, 0.843105]","[132.542, 122.858, 0.622091]","[136.99, 130.785, 0.865224]","[172.13, 121.961, 0.860438]","[171.287, 147.522, 0.753597]","[171.259, 167.762, 0.748503]","[146.633, 171.294, 0.776976]","[136.927, 172.137, 0.779312]","[138.699, 224.11, 0.697057]","[143.98, 276.902, 0.833755]","[158.091, 171.295, 0.792161]","[151.888, 185.383, 0.695662]","[156.32, 231.14, 0.737162]","[144.888, 88.5604, 0.939782]","[153.678, 88.5377, 0.892137]","[138.714, 93.7889, 0.806828]","[159.877, 92.0578, 0.825298]","[151.95, 249.663, 0.787129]","[158.079, 248.756, 0.741069]","[154.571, 233.803, 0.554688]","[143.125, 285.749, 0.761394]","[136.984, 285.701, 0.821877]","[144.914, 279.558, 0.736643]"
"[150.147, 94.6859, 0.919447]","[151.004, 121.12, 0.912294]","[129.941, 121.118, 0.858084]","[124.618, 154.562, 0.822885]","[123.736, 182.723, 0.866592]","[170.42, 120.228, 0.814896]","[172.124, 151.949, 0.851999]","[172.166, 181.853, 0.866053]","[147.528, 177.451, 0.695685]","[136.915, 178.309, 0.718292]","[141.337, 228.512, 0.790347]","[144.01, 274.297, 0.796308]","[158.971, 178.304, 0.73788]","[158.029, 227.642, 0.793775]","[156.329, 273.423, 0.757485]","[144.876, 89.4199, 0.920034]","[152.83, 89.4052, 0.867666]","[137.886, 93.796, 0.841882]","[159.832, 93.7846, 0.856083]","[152.783, 284.828, 0.624756]","[158.118, 283.969, 0.689433]","[155.423, 277.838, 0.598512]","[144.907, 284.827, 0.714152]","[139.583, 284.814, 0.678327]","[144.894, 278.661, 0.652967]"
"[150.166, 94.7039, 0.934262]","[151.003, 121.112, 0.912685]","[129.94, 121.097, 0.852761]","[124.616, 153.679, 0.829677]","[123.735, 181.849, 0.870734]","[171.252, 120.232, 0.814293]","[172.123, 152.786, 0.843794]","[172.13, 181.864, 0.841369]","[147.515, 177.435, 0.701346]","[136.916, 177.451, 0.722355]","[141.343, 228.52, 0.783852]","[144.014, 275.175, 0.794709]","[158.958, 177.453, 0.74598]","[158.04, 228.503, 0.819207]","[156.32, 274.277, 0.753195]","[144.888, 89.4466, 0.90542]","[153.668, 89.4188, 0.853964]","[138.711, 93.8291, 0.85177]","[159.827, 92.9248, 0.845519]","[152.793, 284.836, 0.628383]","[158.93, 283.974, 0.691176]","[154.57, 278.654, 0.5877]","[144.894, 284.838, 0.716139]","[138.737, 284.823, 0.683304]","[144.905, 278.687, 0.643446]"
"[151.022, 94.6962, 0.938676]","[151.044, 121.962, 0.927091]","[130.791, 121.084, 0.841173]","[126.377, 152.827, 0.790832]","[123.766, 180.963, 0.869934]","[171.279, 121.969, 0.838699]","[172.151, 152.814, 0.851135]","[172.196, 183.594, 0.854338]","[149.256, 177.432, 0.699397]","[136.952, 177.44, 0.727751]","[142.213, 228.513, 0.793294]","[144.017, 274.294, 0.794477]","[158.998, 177.459, 0.727695]","[158.042, 228.501, 0.817858]","[157.172, 273.403, 0.767004]","[145.749, 89.4226, 0.889681]","[155.423, 89.416, 0.84803]","[138.744, 93.809, 0.823227]","[159.866, 93.7859, 0.818275]","[152.798, 283.958, 0.582232]","[158.934, 283.072, 0.643167]","[155.451, 277.817, 0.582911]","[145.743, 283.968, 0.681218]","[139.603, 283.949, 0.635351]","[144.892, 277.842, 0.638524]"
"[151.011, 94.7042, 0.936279]","[151.038, 121.962, 0.928267]","[130.775, 121.094, 0.847815]","[124.663, 153.674, 0.802468]","[123.749, 181.838, 0.869315]","[171.28, 121.955, 0.834676]","[172.153, 152.795, 0.84499]","[172.184, 181.853, 0.861502]","[148.397, 177.434, 0.686865]","[136.939, 177.444, 0.71538]","[140.482, 228.496, 0.783816]","[144.008, 274.276, 0.793591]","[158.982, 177.456, 0.722122]","[158.039, 227.632, 0.786566]","[156.327, 273.412, 0.757079]","[144.924, 89.4406, 0.884013]","[154.568, 89.4273, 0.845888]","[138.745, 93.8321, 0.834327]","[159.864, 93.8094, 0.843837]","[151.949, 283.966, 0.624234]","[158.11, 283.102, 0.68257]","[155.446, 277.839, 0.587067]","[144.902, 283.978, 0.690089]","[138.744, 283.967, 0.651822]","[144.89, 277.841, 0.647979]"
"[150.158, 94.6811, 0.919198]","[151.002, 121.114, 0.912337]","[129.947, 121.098, 0.853788]","[124.617, 153.672, 0.83063]","[123.734, 181.872, 0.864518]","[170.409, 120.238, 0.812462]","[172.114, 151.954, 0.849867]","[172.141, 181.863, 0.854862]","[147.522, 176.579, 0.698487]","[136.918, 177.44, 0.720921]","[140.468, 228.494, 0.782844]","[144.014, 275.175, 0.80026]","[158.963, 177.447, 0.743381]","[158.029, 228.488, 0.807471]","[156.328, 274.273, 0.759155]","[144.881, 89.4091, 0.917669]","[153.683, 89.3967, 0.864624]","[138.697, 93.8166, 0.844417]","[159.844, 93.788, 0.847197]","[151.954, 284.838, 0.642755]","[158.111, 283.978, 0.702941]","[155.432, 277.841, 0.599044]","[144.887, 284.84, 0.721226]","[138.733, 284.824, 0.685148]","[144.91, 278.681, 0.655767]"
"[150.141, 94.7033, 0.924569]","[151.002, 121.949, 0.912869]","[129.933, 121.122, 0.859154]","[124.616, 154.569, 0.826401]","[123.733, 182.72, 0.869814]","[170.42, 120.224, 0.815501]","[172.124, 151.949, 0.855316]","[172.16, 181.849, 0.866749]","[147.526, 178.303, 0.697812]","[136.917, 178.317, 0.722583]","[140.484, 228.512, 0.788447]","[144.01, 274.298, 0.796743]","[158.969, 178.315, 0.742659]","[158.028, 228.474, 0.79575]","[156.328, 273.425, 0.756847]","[144.871, 89.4457, 0.912642]","[152.812, 89.4245, 0.865785]","[138.704, 93.8098, 0.850143]","[159.009, 93.7803, 0.861582]","[151.959, 284.833, 0.628373]","[158.116, 283.975, 0.69279]","[155.423, 277.84, 0.599668]","[144.907, 284.829, 0.715174]","[139.583, 284.816, 0.679211]","[144.895, 278.662, 0.651644]"
"[150.134, 94.6835, 0.914788]","[150.992, 121.956, 0.907905]","[129.936, 121.095, 0.857283]","[124.62, 153.678, 0.828004]","[122.906, 181.001, 0.876746]","[170.386, 121.958, 0.8153]","[171.29, 152.825, 0.810604]","[172.131, 183.617, 0.837252]","[146.657, 177.44, 0.701522]","[136.91, 177.446, 0.714081]","[140.48, 228.52, 0.793679]","[144.013, 275.174, 0.792168]","[158.939, 177.458, 0.75299]","[157.217, 228.484, 0.79982]","[156.33, 273.408, 0.762905]","[144.861, 89.4233, 0.923954]","[152.81, 89.3983, 0.876358]","[137.874, 93.808, 0.85804]","[159.007, 92.9248, 0.853937]","[153.672, 283.966, 0.572342]","[158.958, 282.224, 0.635195]","[154.571, 277.823, 0.578914]","[145.785, 283.98, 0.654619]","[140.486, 283.982, 0.621984]","[144.877, 278.676, 0.650697]"
