鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[684.9575805664062, 691.7979736328125]","[675.2086791992188, 682.049072265625]","[665.4597778320312, 701.546875]","[665.4597778320312, 721.0446166992188]","[636.2130737304688, 750.291259765625]","[762.94873046875, 789.286865234375]","[694.7064819335938, 847.7802734375]","[694.7064819335938, 730.7935180664062]","[587.4686889648438, 867.2780151367188]","[665.4597778320312, 760.0402221679688]","[577.7197875976562, 769.7890625]","[1026.168701171875, 838.0313110351562]","[1016.419921875, 886.7757568359375]","[1230.8955078125, 711.2957153320312]","[1221.1466064453125, 730.7935180664062]","[1416.12451171875, 896.524658203125]","[1416.12451171875, 935.520263671875]"
"[693.4660034179688, 691.47119140625]","[673.9006958007812, 681.6885375976562]","[664.1179809570312, 701.25390625]","[664.1179809570312, 720.8192138671875]","[644.5526733398438, 750.167236328125]","[771.7274169921875, 789.2979125976562]","[703.2487182617188, 857.7766723632812]","[693.4660034179688, 730.6018676757812]","[585.8566284179688, 867.559326171875]","[654.3353271484375, 730.6018676757812]","[576.0739135742188, 769.7326049804688]","[1026.076904296875, 838.2113037109375]","[1016.2942504882812, 887.1246337890625]","[1231.512939453125, 711.0365600585938]","[1221.7303466796875, 730.6018676757812]","[1417.3837890625, 906.68994140625]","[1417.3837890625, 936.0380249023438]"
"[702.0372924804688, 669.2849731445312]","[683.5238647460938, 650.7716064453125]","[674.2672119140625, 678.5416259765625]","[1442.572509765625, 928.4722900390625]","[646.4971313476562, 734.081787109375]","[757.5774536132812, 771.1085205078125]","[692.7805786132812, 835.9053955078125]","[692.7805786132812, 687.79833984375]","[600.2136840820312, 845.1620483398438]","[683.5238647460938, 724.8250732421875]","[600.2136840820312, 743.3385009765625]","[1035.278076171875, 826.648681640625]","[1016.7648315429688, 891.445556640625]","[1220.411865234375, 706.3117065429688]","[1220.411865234375, 734.081787109375]","[1414.802490234375, 919.215576171875]","[1414.802490234375, 937.7289428710938]"
"[712.830078125, 659.0756225585938]","[703.5896606445312, 649.8351440429688]","[685.1088256835938, 668.3161010742188]","[1442.8238525390625, 936.2883911132812]","[657.3875122070312, 714.5182495117188]","[768.2726440429688, 760.7202758789062]","[703.5896606445312, 825.4032592773438]","[703.5896606445312, 696.0372924804688]","[611.1853637695312, 834.6437377929688]","[685.1088256835938, 696.0372924804688]","[601.9449462890625, 732.9990844726562]","[1036.2449951171875, 825.4032592773438]","[1008.5238647460938, 899.3267211914062]","[1221.0535888671875, 705.2777709960938]","[1221.0535888671875, 723.7586059570312]","[1415.1025390625, 917.8075561523438]","[1405.8621826171875, 936.2883911132812]"
"[724.364013671875, 652.0107421875]","[706.3170776367188, 642.9873046875]","[697.2936401367188, 661.0341796875]","[1401.122802734375, 922.7142944335938]","[661.1998291015625, 706.1514892578125]","[760.4578247070312, 751.2687377929688]","[715.3405151367188, 814.432861328125]","[715.3405151367188, 697.1279907226562]","[616.0825805664062, 823.456298828125]","[661.1998291015625, 688.1045532226562]","[607.0591430664062, 724.1983642578125]","[1031.1612548828125, 823.456298828125]","[1013.1144409179688, 895.6439208984375]","[1229.67724609375, 706.1514892578125]","[1220.65380859375, 724.1983642578125]","[1419.169677734375, 904.6673583984375]","[1410.146240234375, 931.7377319335938]"
"[724.4154663085938, 652.131103515625]","[706.36767578125, 643.107177734375]","[697.34375, 661.155029296875]","[1401.208984375, 922.8485107421875]","[661.2481079101562, 706.2745971679688]","[760.5111694335938, 751.3941650390625]","[715.3915405273438, 814.5615844726562]","[715.3915405273438, 697.2506713867188]","[616.1285400390625, 823.58544921875]","[661.2481079101562, 688.2267456054688]","[607.1046142578125, 724.3224487304688]","[1031.228515625, 823.58544921875]","[1013.1807861328125, 895.7767944335938]","[1229.754638671875, 706.2745971679688]","[1220.730712890625, 724.3224487304688]","[1419.2568359375, 904.8007202148438]","[1410.23291015625, 922.8485107421875]"
"[724.5364379882812, 648.3280639648438]","[715.4456787109375, 630.1464233398438]","[697.2640991210938, 648.3280639648438]","[1442.70751953125, 930.1420288085938]","[679.0825805664062, 693.7819213867188]","[788.171875, 739.2357788085938]","[715.4456787109375, 802.8711547851562]","[733.6272583007812, 684.6911010742188]","[615.4471435546875, 802.8711547851562]","[697.2640991210938, 693.7819213867188]","[624.5379028320312, 702.8726196289062]","[1042.7135009765625, 830.1434936523438]","[1015.4412231445312, 893.7789916992188]","[1224.529052734375, 711.9634399414062]","[1224.529052734375, 721.0541381835938]","[1415.435302734375, 911.9605102539062]","[1406.344482421875, 930.1420288085938]"
"[732.2457275390625, 630.2260131835938]","[723.2398071289062, 621.2201538085938]","[705.2280883789062, 630.2260131835938]","[660.1986694335938, 684.2612915039062]","[678.2103881835938, 684.2612915039062]","[786.2810668945312, 738.2965698242188]","[723.2398071289062, 792.3319702148438]","[741.2516479492188, 684.2612915039062]","[624.1751098632812, 792.3319702148438]","[669.2045288085938, 666.2494506835938]","[633.1809692382812, 684.2612915039062]","[1038.44580078125, 828.3554077148438]","[1020.43408203125, 891.3966674804688]","[1227.5693359375, 711.2789916992188]","[1227.5693359375, 720.2848510742188]","[1398.6812744140625, 918.4142456054688]","[1407.6871337890625, 927.4202270507812]"
"[732.1874389648438, 630.4806518554688]","[723.1884765625, 621.4816284179688]","[705.1904907226562, 630.4806518554688]","[660.1954956054688, 684.4746704101562]","[678.1934814453125, 684.4746704101562]","[777.1824951171875, 738.4686889648438]","[723.1884765625, 792.4625854492188]","[741.1864624023438, 684.4746704101562]","[624.199462890625, 792.4625854492188]","[669.1944580078125, 666.4766235351562]","[633.198486328125, 684.4746704101562]","[1038.1533203125, 828.4586791992188]","[1020.1554565429688, 891.4515991210938]","[1227.13232421875, 711.4716186523438]","[1227.13232421875, 720.4706420898438]","[1398.11328125, 909.4496459960938]","[1407.1123046875, 927.4476928710938]"
"[751.0399780273438, 625.1996459960938]","[742.4095458984375, 616.5692749023438]","[725.1488037109375, 625.1996459960938]","[656.1058349609375, 668.3515014648438]","[690.6273193359375, 668.3515014648438]","[776.9310913085938, 720.1337280273438]","[716.5184326171875, 780.5463256835938]","[751.0399780273438, 685.6122436523438]","[630.2147216796875, 780.5463256835938]","[699.2576904296875, 676.9818725585938]","[638.8450927734375, 694.2426147460938]","[1027.2117919921875, 815.0678100585938]","[1009.9511108398438, 901.3715209960938]","[1225.7103271484375, 702.8729858398438]","[1225.7103271484375, 737.3944702148438]","[1398.3177490234375, 910.0018920898438]","[1406.9481201171875, 927.2626342773438]"
